Name, Function, nb_messages, epoch
node_6,CreateProofForEpoch,10,4
node_2,CreateProofForEpoch,10,4
node_8,CreateProofForEpoch,10,4
node_0,CreateProofForEpoch,10,4
node_3,CreateProofForEpoch,10,4
node_9,CreateProofForEpoch,10,4
node_1,CreateProofForEpoch,10,4
node_5,CreateProofForEpoch,10,4
node_4,CreateProofForEpoch,10,4
node_7,CreateProofForEpoch,10,4
node_11,CreateProofForEpoch,11,4
node_10,CreateProofForEpoch,11,4
node_2,AgreeOnState,10,4
node_2,GetConsencusOnNewSigners,11,4
node_7,AgreeOnState,12,5
node_9,AgreeOnState,12,5
node_1,AgreeOnState,12,5
node_0,AgreeOnState,12,5
node_4,AgreeOnState,12,5
node_3,AgreeOnState,12,5
node_6,AgreeOnState,12,5
node_11,AgreeOnState,12,5
node_8,AgreeOnState,12,5
node_10,AgreeOnState,12,5
node_5,AgreeOnState,12,5
node_2,AgreeOnState,12,5
node_13,UpdateHistoryWith, 1,5
node_12,UpdateHistoryWith, 1,5
node_5, SignatureRequest, 12,5
node_12, SignatureRequest, 13,5
node_13, SignatureRequest, 13,5
node_8, SignatureRequest, 12,5
node_3, SignatureRequest, 12,5
node_11, SignatureRequest, 12,5
node_7, SignatureRequest, 12,5
node_1, SignatureRequest, 12,5
node_2, SignatureRequest, 12,5
node_0, SignatureRequest, 12,5
node_9, SignatureRequest, 12,5
node_10, SignatureRequest, 12,5
node_4, SignatureRequest, 12,5
node_6, SignatureRequest, 12,5
node_11,CreateProofForEpoch,12,5
node_10,CreateProofForEpoch,12,5
node_9,CreateProofForEpoch,12,5
node_8,CreateProofForEpoch,12,5
node_5,CreateProofForEpoch,12,5
node_6,CreateProofForEpoch,12,5
node_4,CreateProofForEpoch,12,5
node_1,CreateProofForEpoch,12,5
node_7,CreateProofForEpoch,12,5
node_2,CreateProofForEpoch,12,5
node_3,CreateProofForEpoch,12,5
node_12,CreateProofForEpoch,13,5
node_13,CreateProofForEpoch,13,5
node_0,CreateProofForEpoch,12,5
node_2,AgreeOnState,12,5
node_2,GetConsencusOnNewSigners,13,5
node_6,AgreeOnState,14,6
node_9,AgreeOnState,14,6
node_12,AgreeOnState,14,6
node_5,AgreeOnState,14,6
node_1,AgreeOnState,14,6
node_11,AgreeOnState,14,6
node_10,AgreeOnState,14,6
node_13,AgreeOnState,14,6
node_3,AgreeOnState,14,6
node_8,AgreeOnState,14,6
node_2,AgreeOnState,14,6
node_7,AgreeOnState,14,6
node_0,AgreeOnState,14,6
node_4,AgreeOnState,14,6
node_15,UpdateHistoryWith, 1,6
node_14,UpdateHistoryWith, 1,6
node_3, SignatureRequest, 14,6
node_15, SignatureRequest, 15,6
node_2, SignatureRequest, 14,6
node_12, SignatureRequest, 14,6
node_5, SignatureRequest, 14,6
node_13, SignatureRequest, 14,6
node_14, SignatureRequest, 15,6
node_6, SignatureRequest, 14,6
node_10, SignatureRequest, 14,6
node_0, SignatureRequest, 14,6
node_7, SignatureRequest, 14,6
node_11, SignatureRequest, 14,6
node_4, SignatureRequest, 14,6
node_8, SignatureRequest, 14,6
node_9, SignatureRequest, 14,6
node_1, SignatureRequest, 14,6
node_3,CreateProofForEpoch,14,6
node_0,CreateProofForEpoch,14,6
node_13,CreateProofForEpoch,14,6
node_6,CreateProofForEpoch,14,6
node_2,CreateProofForEpoch,14,6
node_12,CreateProofForEpoch,14,6
node_5,CreateProofForEpoch,14,6
node_9,CreateProofForEpoch,14,6
node_8,CreateProofForEpoch,14,6
node_1,CreateProofForEpoch,14,6
node_11,CreateProofForEpoch,14,6
node_10,CreateProofForEpoch,14,6
node_4,CreateProofForEpoch,14,6
node_7,CreateProofForEpoch,14,6
node_14,CreateProofForEpoch,15,6
node_15,CreateProofForEpoch,15,6
node_7,AgreeOnState,14,6
node_7,GetConsencusOnNewSigners,15,6
node_8,AgreeOnState,16,7
node_15,AgreeOnState,16,7
node_9,AgreeOnState,16,7
node_14,AgreeOnState,16,7
node_10,AgreeOnState,16,7
node_2,AgreeOnState,16,7
node_0,AgreeOnState,16,7
node_4,AgreeOnState,16,7
node_1,AgreeOnState,16,7
node_11,AgreeOnState,16,7
node_12,AgreeOnState,16,7
node_5,AgreeOnState,16,7
node_6,AgreeOnState,16,7
node_7,AgreeOnState,16,7
node_13,AgreeOnState,16,7
node_3,AgreeOnState,16,7
node_16,UpdateHistoryWith, 1,7
node_17,UpdateHistoryWith, 1,7
node_12, SignatureRequest, 16,7
node_7, SignatureRequest, 16,7
node_13, SignatureRequest, 16,7
node_6, SignatureRequest, 16,7
node_14, SignatureRequest, 16,7
node_15, SignatureRequest, 16,7
node_8, SignatureRequest, 16,7
node_5, SignatureRequest, 16,7
node_16, SignatureRequest, 17,7
node_9, SignatureRequest, 16,7
node_10, SignatureRequest, 16,7
node_17, SignatureRequest, 17,7
node_11, SignatureRequest, 16,7
node_3, SignatureRequest, 16,7
node_4, SignatureRequest, 16,7
node_0, SignatureRequest, 16,7
node_2, SignatureRequest, 16,7
node_1, SignatureRequest, 16,7
node_11,CreateProofForEpoch,16,7
node_12,CreateProofForEpoch,16,7
node_9,CreateProofForEpoch,16,7
node_2,CreateProofForEpoch,16,7
node_4,CreateProofForEpoch,16,7
node_0,CreateProofForEpoch,16,7
node_1,CreateProofForEpoch,16,7
node_14,CreateProofForEpoch,16,7
node_13,CreateProofForEpoch,16,7
node_17,CreateProofForEpoch,17,7
node_10,CreateProofForEpoch,16,7
node_6,CreateProofForEpoch,16,7
node_8,CreateProofForEpoch,16,7
node_5,CreateProofForEpoch,16,7
node_3,CreateProofForEpoch,16,7
node_7,CreateProofForEpoch,16,7
node_15,CreateProofForEpoch,16,7
node_16,CreateProofForEpoch,17,7
node_10,AgreeOnState,16,7
node_10,GetConsencusOnNewSigners,17,7
node_1,AgreeOnState,18,8
node_13,AgreeOnState,18,8
node_3,AgreeOnState,18,8
node_6,AgreeOnState,18,8
node_17,AgreeOnState,18,8
node_15,AgreeOnState,18,8
node_14,AgreeOnState,18,8
node_11,AgreeOnState,18,8
node_9,AgreeOnState,18,8
node_8,AgreeOnState,18,8
node_10,AgreeOnState,18,8
node_5,AgreeOnState,18,8
node_4,AgreeOnState,18,8
node_7,AgreeOnState,18,8
node_0,AgreeOnState,18,8
node_12,AgreeOnState,18,8
node_16,AgreeOnState,18,8
node_2,AgreeOnState,18,8
node_18,UpdateHistoryWith, 1,8
node_19,UpdateHistoryWith, 1,8
node_3, SignatureRequest, 18,8
node_18, SignatureRequest, 19,8
node_10, SignatureRequest, 18,8
node_13, SignatureRequest, 18,8
node_19, SignatureRequest, 19,8
node_4, SignatureRequest, 18,8
node_8, SignatureRequest, 18,8
node_7, SignatureRequest, 18,8
node_5, SignatureRequest, 18,8
node_6, SignatureRequest, 18,8
node_11, SignatureRequest, 18,8
node_9, SignatureRequest, 18,8
node_16, SignatureRequest, 18,8
node_1, SignatureRequest, 18,8
node_2, SignatureRequest, 18,8
node_12, SignatureRequest, 18,8
node_14, SignatureRequest, 18,8
node_15, SignatureRequest, 18,8
node_17, SignatureRequest, 18,8
node_0, SignatureRequest, 18,8
node_3,CreateProofForEpoch,18,8
node_10,CreateProofForEpoch,18,8
node_0,CreateProofForEpoch,18,8
node_2,CreateProofForEpoch,18,8
node_7,CreateProofForEpoch,18,8
node_15,CreateProofForEpoch,18,8
node_16,CreateProofForEpoch,18,8
node_5,CreateProofForEpoch,18,8
node_14,CreateProofForEpoch,18,8
node_17,CreateProofForEpoch,18,8
node_9,CreateProofForEpoch,18,8
node_12,CreateProofForEpoch,18,8
node_11,CreateProofForEpoch,18,8
node_1,CreateProofForEpoch,18,8
node_8,CreateProofForEpoch,18,8
node_4,CreateProofForEpoch,18,8
node_13,CreateProofForEpoch,18,8
node_6,CreateProofForEpoch,18,8
node_18,CreateProofForEpoch,19,8
node_19,CreateProofForEpoch,19,8
node_9,AgreeOnState,18,8
node_9,GetConsencusOnNewSigners,19,8
node_17,AgreeOnState,20,9
node_12,AgreeOnState,20,9
node_0,AgreeOnState,20,9
node_2,AgreeOnState,20,9
node_14,AgreeOnState,20,9
node_8,AgreeOnState,20,9
node_3,AgreeOnState,20,9
node_7,AgreeOnState,20,9
node_11,AgreeOnState,20,9
node_5,AgreeOnState,20,9
node_15,AgreeOnState,20,9
node_13,AgreeOnState,20,9
node_1,AgreeOnState,20,9
node_18,AgreeOnState,20,9
node_19,AgreeOnState,20,9
node_10,AgreeOnState,20,9
node_9,AgreeOnState,20,9
node_16,AgreeOnState,20,9
node_6,AgreeOnState,20,9
node_4,AgreeOnState,20,9
